,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
314,Retired and other inactive,SE,33,33,43,44,58,60,NA
315,Retired and other inactive,SI,3 ,7 ,12,11,23,23,25
316,Retired and other inactive,SK,8 ,10,14,16,25,31,24
317,Retired and other inactive,TR,4 ,7 ,13,17,29,39,44
318,Retired and other inactive,UK,35,36,46,55,55,59,64
319,Retired and other inactive,XK,NA,NA,NA,NA,NA,58,48
320,"Employees, self-employed, familly workers",AT,53,60,67,74,74,84,83
321,"Employees, self-employed, familly workers",BA,NA,NA,NA,NA,NA,NA,82
322,"Employees, self-employed, familly workers",BE,51,54,69,79,82,85,87
323,"Employees, self-employed, familly workers",BG,18,27,36,50,59,74,74
324,"Employees, self-employed, familly workers",CH,NA,NA,67,NA,NA,76,NA
325,"Employees, self-employed, familly workers",CY,26,31,48,66,72,78,84
326,"Employees, self-employed, familly workers",CZ,NA,33,43,52,NA,70,77
327,"Employees, self-employed, familly workers",DE,38,52,66,73,78,85,88
328,"Employees, self-employed, familly workers",DK,67,73,83,86,88,90,94
329,"Employees, self-employed, familly workers",EA,41,50,61,66,69,76,79
330,"Employees, self-employed, familly workers",EE,43,52,65,69,71,77,80
331,"Employees, self-employed, familly workers",EL,29,35,50,57,59,66,68
332,"Employees, self-employed, familly workers",ES,47,63,76,80,85,90,91
333,"Employees, self-employed, familly workers",EU27,43,51,61,67,69,75,79
334,"Employees, self-employed, familly workers",EU28,43,51,60,67,69,75,79
335,"Employees, self-employed, familly workers",FI,64,69,77,82,85,88,88
336,"Employees, self-employed, familly workers",FR,50,59,68,71,70,80,83
337,"Employees, self-employed, familly workers",HR,46,51,53,66,68,73,81
338,"Employees, self-employed, familly workers",HU,23,37,55,65,71,77,79
339,"Employees, self-employed, familly workers",IE,61,68,74,79,78,84,87
340,"Employees, self-employed, familly workers",IS,61,61,71,NA,NA,87,88
341,"Employees, self-employed, familly workers",IT,21,20,25,25,30,33,43
342,"Employees, self-employed, familly workers",LT,19,29,36,44,54,67,74
343,"Employees, self-employed, familly workers",LU,69,71,75,81,82,86,91
344,"Employees, self-employed, familly workers",LV,31,38,42,52,58,68,70
345,"Employees, self-employed, familly workers",ME,43,NA,NA,NA,NA,87,89
346,"Employees, self-employed, familly workers",MK,22,32,51,64,68,78,73
347,"Employees, self-employed, familly workers",MT,54,56,66,78,79,86,85
348,"Employees, self-employed, familly workers",NL,65,76,80,85,87,93,93
349,"Employees, self-employed, familly workers",NO,80,82,85,90,87,92,93
350,"Employees, self-employed, familly workers",PL,28,38,44,53,35,46,57
351,"Employees, self-employed, familly workers",PT,24,26,44,56,60,69,72
352,"Employees, self-employed, familly workers",RO,9 ,18,29,44,53,62,68
353,"Employees, self-employed, familly workers",RS,NA,NA,NA,58,NA,73,76
354,"Employees, self-employed, familly workers",SE,75,80,83,85,86,94,92
355,"Employees, self-employed, familly workers",SI,35,49,52,66,66,78,81
356,"Employees, self-employed, familly workers",SK,45,48,59,67,69,75,73
357,"Employees, self-employed, familly workers",TR,19,29,44,56,68,76,77
358,"Employees, self-employed, familly workers",UK,71,75,81,88,90,92,91
359,"Employees, self-employed, familly workers",XK,NA,NA,NA,NA,NA,81,81
360,students,AT,84,89,94,99,97,97,97
361,students,BA,NA,NA,NA,NA,NA,NA,92
362,students,BE,73,81,80,91,94,92,93
363,students,BG,30,56,72,84,91,95,95
364,students,CH,NA,NA,85,NA,NA,86,NA
365,students,CY,61,71,86,96,96,99,97
366,students,CZ,NA,68,79,87,NA,94,97
367,students,DE,56,80,87,91,94,95,98
368,students,DK,87,89,92,92,95,97,97
369,students,EA,65,79,84,89,90,92,93
370,students,EE,68,77,92,93,96,97,98
371,students,EL,58,67,78,85,88,92,91
372,students,ES,76,86,93,93,95,97,97
373,students,EU27,65,77,84,90,90,92,93
374,students,EU28,65,78,84,90,90,92,93
375,students,FI,80,82,93,93,96,97,95
376,students,FR,78,83,83,91,89,91,91
377,students,HR,87,82,83,96,89,96,98
378,students,HU,38,64,81,89,92,94,95
379,students,IE,78,89,94,95,91,95,99
380,students,IS,87,84,93,NA,NA,97,88
381,students,IT,40,64,72,78,81,83,82
382,students,LT,52,67,82,86,87,96,96
383,students,LU,83,82,86,87,91,94,97
384,students,LV,56,78,82,92,91,94,97
385,students,ME,66,NA,NA,NA,NA,10,97
386,students,MK,42,59,84,86,94,92,87
387,students,MT,88,92,94,10,96,97,97
388,students,NL,87,91,83,94,88,10,95
389,students,NO,89,96,92,91,87,99,97
390,students,PL,53,63,77,88,83,87,92
391,students,PT,69,78,84,91,94,96,96
392,students,RO,18,43,62,80,82,90,88
393,students,RS,NA,NA,NA,92,NA,89,94
394,students,SE,89,87,90,94,85,91,94
395,students,SI,78,85,91,96,95,97,97
396,students,SK,73,82,86,93,95,94,98
397,students,TR,39,51,69,74,86,91,88
398,students,UK,93,95,95,98,93,94,88
399,students,XK,NA,NA,NA,NA,NA,88,94
400,Unemployed,AT,46,58,53,67,69,67,68
401,Unemployed,BA,NA,NA,NA,NA,NA,NA,61
402,Unemployed,BE,33,40,50,60,59,69,76
403,Unemployed,BG,5 ,11,16,22,28,40,37
404,Unemployed,CH,NA,NA,73,NA,NA,67,NA
405,Unemployed,CY,27,31,43,59,58,77,75
406,Unemployed,CZ,NA,16,34,33,NA,49,59
407,Unemployed,DE,18,33,37,51,52,59,66
408,Unemployed,DK,54,62,76,73,92,84,89
409,Unemployed,EA,28,37,47,52,54,59,65
410,Unemployed,EE,34,44,55,55,60,67,72
411,Unemployed,EL,24,23,36,48,55,56,63
412,Unemployed,ES,33,47,60,65,69,77,81
413,Unemployed,EU27,28,37,46,52,53,59,64
414,Unemployed,EU28,28,37,46,52,53,59,64
415,Unemployed,FI,50,54,66,69,75,83,75
